Seed	Cores	Size	Time
1	1	10000	0.030174
1	2	10000	0.007235
1	4	10000	0.014403
1	1	60000	1.12272
1	2	60000	0.272465
1	4	60000	0.333706
1	1	110000	3.83693
1	2	110000	0.954409
1	4	110000	1.26847
1	1	160000	9.25094
1	2	160000	2.151
1	4	160000	2.75976
1	1	210000	16.0019
1	2	210000	3.49608
1	4	210000	4.54747
1	1	260000	21.5282
1	2	260000	5.40486
1	4	260000	7.0232
1	1	310000	30.585
1	2	310000	7.70793
1	4	310000	9.98654
1	1	360000	41.7561
1	2	360000	10.3963
1	4	360000	13.4753
1	1	410000	53.4749
1	2	410000	13.6181
1	4	410000	17.4446
1	1	460000	67.642
1	2	460000	17.2278
1	4	460000	21.9963
2	1	10000	0.022072
2	2	10000	0.007562
2	4	10000	0.008691
2	1	60000	1.08863
2	2	60000	0.266438
2	4	60000	0.335496
2	1	110000	3.81173
2	2	110000	0.949526
2	4	110000	1.23266
2	1	160000	8.08196
2	2	160000	2.01205
2	4	160000	2.62692
2	1	210000	13.9469
2	2	210000	3.50515
2	4	210000	4.57135
2	1	260000	22.7373
2	2	260000	5.62474
2	4	260000	7.19173
2	1	310000	30.6455
2	2	310000	7.73434
2	4	310000	10.0013
2	1	360000	41.7762
2	2	360000	10.406
2	4	360000	13.4465
2	1	410000	53.3649
2	2	410000	13.4453
2	4	410000	17.4565
2	1	460000	67.4936
2	2	460000	17.0913
2	4	460000	21.9627
3	1	10000	0.021438
3	2	10000	0.007402
3	4	10000	0.008303
3	1	60000	1.11505
3	2	60000	0.269375
3	4	60000	0.346212
3	1	110000	3.84359
3	2	110000	0.968705
3	4	110000	1.23161
3	1	160000	8.06551
3	2	160000	2.04127
3	4	160000	2.62364
3	1	210000	13.9732
3	2	210000	3.50246
3	4	210000	4.5404
3	1	260000	21.4835
3	2	260000	5.38048
3	4	260000	7.06535
3	1	310000	30.6208
3	2	310000	7.75246
3	4	310000	10.0357
3	1	360000	41.5839
3	2	360000	10.443
3	4	360000	13.4982
3	1	410000	53.442
3	2	410000	13.5274
3	4	410000	17.4863
3	1	460000	67.7131
3	2	460000	16.9981
3	4	460000	22.0535
4	1	10000	0.021583
4	2	10000	0.007571
4	4	10000	0.008537
4	1	60000	1.10003
4	2	60000	0.267908
4	4	60000	0.344063
4	1	110000	3.77731
4	2	110000	0.962813
4	4	110000	1.21616
4	1	160000	8.08571
4	2	160000	2.02471
4	4	160000	2.63075
4	1	210000	14.0184
4	2	210000	3.4925
4	4	210000	4.5662
4	1	260000	21.6145
4	2	260000	5.55298
4	4	260000	7.00973
4	1	310000	30.7218
4	2	310000	7.70686
4	4	310000	10.2056
4	1	360000	41.203
4	2	360000	10.472
4	4	360000	13.4742
4	1	410000	53.4412
4	2	410000	13.4893
4	4	410000	17.4997
4	1	460000	67.9973
4	2	460000	16.9849
4	4	460000	22.0208
5	1	10000	0.021579
5	2	10000	0.007629
5	4	10000	0.008997
5	1	60000	1.08488
5	2	60000	0.274374
5	4	60000	0.364226
5	1	110000	3.81652
5	2	110000	0.944053
5	4	110000	1.22723
5	1	160000	8.09267
5	2	160000	2.01344
5	4	160000	2.63694
5	1	210000	13.9548
5	2	210000	3.49293
5	4	210000	4.56294
5	1	260000	21.4551
5	2	260000	5.39374
5	4	260000	7.00492
5	1	310000	30.5047
5	2	310000	7.67199
5	4	310000	10.0831
5	1	360000	41.1651
5	2	360000	10.3831
5	4	360000	13.4807
5	1	410000	53.4964
5	2	410000	13.4338
5	4	410000	17.4937
5	1	460000	67.3867
5	2	460000	16.7162
5	4	460000	21.7045
