Seed	Cores	Size	Time
-1	1	10000	0.000369
-1	2	10000	0.001332
-1	4	10000	0.001642
-1	1	60000	0.00136
-1	2	60000	0.003838
-1	4	60000	0.004124
-1	1	110000	0.002558
-1	2	110000	0.005314
-1	4	110000	0.006751
-1	1	160000	0.003817
-1	2	160000	0.007811
-1	4	160000	0.010169
-1	1	210000	0.004963
-1	2	210000	0.009688
-1	4	210000	0.012643
-1	1	260000	0.006237
-1	2	260000	0.011362
-1	4	260000	0.015261
-1	1	310000	0.00742
-1	2	310000	0.013874
-1	4	310000	0.018363
-1	1	360000	0.008246
-1	2	360000	0.016474
-1	4	360000	0.021573
-1	1	410000	0.0097
-1	2	410000	0.017531
-1	4	410000	0.02299
-1	1	460000	0.010914
-1	2	460000	0.019274
-1	4	460000	0.025503
-2	1	10000	0.000273
-2	2	10000	0.001463
-2	4	10000	0.001806
-2	1	60000	0.001417
-2	2	60000	0.003415
-2	4	60000	0.004155
-2	1	110000	0.002656
-2	2	110000	0.005617
-2	4	110000	0.007018
-2	1	160000	0.003732
-2	2	160000	0.007347
-2	4	160000	0.010436
-2	1	210000	0.004923
-2	2	210000	0.00931
-2	4	210000	0.012029
-2	1	260000	0.005943
-2	2	260000	0.011113
-2	4	260000	0.014573
-2	1	310000	0.007414
-2	2	310000	0.01391
-2	4	310000	0.018529
-2	1	360000	0.008458
-2	2	360000	0.015885
-2	4	360000	0.022032
-2	1	410000	0.009656
-2	2	410000	0.017403
-2	4	410000	0.024367
-2	1	460000	0.010706
-2	2	460000	0.01973
-2	4	460000	0.027054
-3	1	10000	0.000276
-3	2	10000	0.001228
-3	4	10000	0.001691
-3	1	60000	0.001399
-3	2	60000	0.003779
-3	4	60000	0.004046
-3	1	110000	0.002494
-3	2	110000	0.005135
-3	4	110000	0.007268
-3	1	160000	0.003761
-3	2	160000	0.007781
-3	4	160000	0.011123
-3	1	210000	0.004804
-3	2	210000	0.009786
-3	4	210000	0.014287
-3	1	260000	0.005935
-3	2	260000	0.01146
-3	4	260000	0.015333
-3	1	310000	0.007456
-3	2	310000	0.01391
-3	4	310000	0.01809
-3	1	360000	0.008428
-3	2	360000	0.01609
-3	4	360000	0.020778
-3	1	410000	0.009701
-3	2	410000	0.017647
-3	4	410000	0.026058
-3	1	460000	0.011419
-3	2	460000	0.019941
-3	4	460000	0.027015
-4	1	10000	0.000267
-4	2	10000	0.001412
-4	4	10000	0.001439
-4	1	60000	0.001436
-4	2	60000	0.003883
-4	4	60000	0.004101
-4	1	110000	0.002566
-4	2	110000	0.005858
-4	4	110000	0.007229
-4	1	160000	0.003847
-4	2	160000	0.007579
-4	4	160000	0.009884
-4	1	210000	0.004868
-4	2	210000	0.009581
-4	4	210000	0.012224
-4	1	260000	0.006166
-4	2	260000	0.011058
-4	4	260000	0.015369
-4	1	310000	0.007484
-4	2	310000	0.013488
-4	4	310000	0.018147
-4	1	360000	0.008369
-4	2	360000	0.01545
-4	4	360000	0.020349
-4	1	410000	0.009987
-4	2	410000	0.01785
-4	4	410000	0.022474
-4	1	460000	0.011587
-4	2	460000	0.019416
-4	4	460000	0.026683
-5	1	10000	0.000257
-5	2	10000	0.001512
-5	4	10000	0.001483
-5	1	60000	0.001411
-5	2	60000	0.003668
-5	4	60000	0.004248
-5	1	110000	0.002568
-5	2	110000	0.005646
-5	4	110000	0.007811
-5	1	160000	0.004518
-5	2	160000	0.007546
-5	4	160000	0.010477
-5	1	210000	0.005026
-5	2	210000	0.00991
-5	4	210000	0.01203
-5	1	260000	0.006076
-5	2	260000	0.01174
-5	4	260000	0.014753
-5	1	310000	0.007526
-5	2	310000	0.014437
-5	4	310000	0.017718
-5	1	360000	0.008966
-5	2	360000	0.016256
-5	4	360000	0.02182
-5	1	410000	0.010369
-5	2	410000	0.017461
-5	4	410000	0.024271
-5	1	460000	0.012001
-5	2	460000	0.019228
-5	4	460000	0.026852
